municipio;codigo_ibge;tipo_captacao;nome_sistema;latitude;longitude;fonte;observacao
Campo Verde;5102678;subterraneo;Ponto 9;-15.542594;-55.161536;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 8;-15.537144;-55.166586;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 7;-15.558264;-55.169514;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 6;-15.543500;-55.168669;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 5;-15.544442;-55.170486;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 4;-15.551122;-55.164714;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 3;-15.539681;-55.172714;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 2;-15.546828;-55.177097;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;Ponto 1;-15.546525;-55.168747;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;PTP06;-15.544350;-55.170486;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;PTP;-15.546028;-55.177097;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Campo Verde;5102678;subterraneo;PTP01;-15.354653;-55.168747;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Itaúba;5104559;subterraneo;PT 02;-11.001500;-55.143800;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Itaúba;5104559;subterraneo;PT 04;-11.003000;-55.144500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Itaúba;5104559;subterraneo;PT 05;-11.004000;-55.140800;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Primavera do Leste;5107040;subterraneo;PTP 08;-15.551558;-54.257119;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 23;-11.852875;-55.534569;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 39;-11.849753;-55.539550;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 26;-11.700083;-55.451353;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Nova Ubiratã;5106240;subterraneo;PTP 02;-13.033614;-55.248506;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Nova Ubiratã;5106240;subterraneo;PTP 01;-13.037048;-55.248126;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Vila Bela da Santíssima Trindade;5105507;subterraneo;Ponto 1;-15.018212;-59.972732;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
São José do Povo;5107297;subterraneo;PT 02;-16.560960;-54.303030;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Feliz Natal;5103700;subterraneo;PT 01 - Central;-12.386850;-54.933259;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Feliz Natal;5103700;subterraneo;PT 2;-12.389742;-54.929900;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Feliz Natal;5103700;subterraneo;PT 03 - perimetral;-12.397153;-54.928731;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PTP 25;-11.901544;-55.509100;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 37;-11.818625;-55.514933;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Ribeirão Cascalheira;5107180;subterraneo;POCO ST 05 DE MAIO 1;-12.928140;-51.825820;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirão Cascalheira;5107180;subterraneo;POCO ST INDUSTRIAL;-12.946745;-51.835988;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirão Cascalheira;5107180;subterraneo;POCO ST RIBEIRAO;-12.957156;-51.857739;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirão Cascalheira;5107180;subterraneo;POCO ST ALVORADA 1;-12.947958;-51.834658;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirão Cascalheira;5107180;subterraneo;POCO BARRO ALTO 1;-12.928771;-51.825337;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirão Cascalheira;5107180;subterraneo;POCO ALVORADA 2;-12.950137;-51.834349;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ribeirão Cascalheira;5107180;subterraneo;POCO 05  DE MAIO 2;-12.930117;-51.823890;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 07;-13.829944;-56.091250;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 08;-13.825194;-56.097250;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 09;-13.827969;-56.078831;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 10;-13.830611;-56.083389;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 11;-13.849778;-56.088528;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 12;-13.804111;-56.075306;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 14;-13.842500;-56.101667;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 15;-13.835300;-56.105444;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nova Mutum;5106224;subterraneo;PT 04;-13.825019;-56.089917;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José do Rio Claro;5107305;subterraneo;PTP-04;-13.450256;-56.720083;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José do Rio Claro;5107305;subterraneo;PTP -08;-13.444725;-56.722119;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José do Rio Claro;5107305;subterraneo;PTP-09;-13.452694;-56.721300;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José do Rio Claro;5107305;subterraneo;PTP-10;-13.461814;-56.722908;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José do Rio Claro;5107305;subterraneo;PTP-11;-13.447147;-56.713717;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José do Rio Claro;5107305;subterraneo;PTP-12;-13.457792;-56.722792;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tangará da Serra;5107958;subterraneo;Ponto 2;-14.465840;-57.563540;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tangará da Serra;5107958;subterraneo;Ponto 1;-14.473650;-57.552230;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Feliz Natal;5103700;subterraneo;PT 04 Bela Vista;-12.374595;-54.956329;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sorriso;5107925;subterraneo;PTP-30;-12.584811;-55.753492;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sorriso;5107925;subterraneo;PTP-37;-12.514472;-55.750475;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;PT 04;-16.260511;-56.619272;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;PT 08;-16.258914;-56.619917;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;01;-16.253950;-56.630156;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;07;-16.248844;-56.626625;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;09;-16.246711;-56.634606;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;11;-16.246125;-56.622703;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;14;-16.246456;-56.630839;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;15;-16.268475;-56.615922;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;16;-16.248083;-56.634522;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poconé;5106505;subterraneo;19;-16.250494;-56.637333;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PT 12;-11.924287;-55.504426;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PT 01;-11.854020;-55.496460;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PT 02;-11.867378;-55.508917;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PT 04;-11.850592;-55.495456;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PTP 18;-11.941414;-55.514372;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Jaciara;5104807;subterraneo;PT 01;-16.623333;-55.624722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Jaciara;5104807;subterraneo;PT 02;-16.590556;-55.633889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Jaciara;5104807;subterraneo;PT 03;-16.601667;-55.625000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Jaciara;5104807;subterraneo;PT 04;-16.582500;-55.642222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PTP 01;-11.853989;-55.496558;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 03;-11.848211;-55.501825;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 38;-11.850628;-55.495300;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PTP 02;-11.867422;-55.508925;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
São José dos Quatro Marcos;5107107;subterraneo;PTP APARECIDA BELA;-15.302739;-58.207947;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Sinop;5107909;subterraneo;PT 21;-11.832367;-55.480662;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Paranatinga;5106307;subterraneo;PT 05 PERIVAL;-14.432725;-54.257353;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PT 01 VISTA ALEGRE;-14.431575;-54.048278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cáceres;5102504;subterraneo;Ponto 2;-16.041666;-57.635278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Santa Carmem;5107248;subterraneo;PT-02;-11.977481;-55.280669;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Santa Carmem;5107248;subterraneo;PT-01;-11.977500;-55.280433;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tabaporã;5107941;subterraneo;POÇO 02;-11.304722;-56.268333;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PT 04 JARDIM FLAMBOY;-14.451417;-54.048022;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PT 02 COHAB J DIAS;-14.426217;-54.061750;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Pedra Preta;5106372;subterraneo;PT 01;-16.622778;-54.467778;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PT 11;-11.988777;-55.519385;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Sinop;5107909;subterraneo;PT 22;-11.991896;-55.519824;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Paranatinga;5106307;subterraneo;PT 06 JARDIM ITALIA;-14.671308;-54.089444;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cláudia;5103056;subterraneo;PTP-01;-11.525831;-54.370914;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cláudia;5103056;subterraneo;PTP-02;-11.525886;-54.370814;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cláudia;5103056;subterraneo;PTP-04;-11.407597;-55.043303;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cláudia;5103056;subterraneo;PTP-05;-11.401400;-55.044892;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cláudia;5103056;subterraneo;PTP-03;-11.402817;-55.045450;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Santa Rita do Trivelato;5107768;subterraneo;PT 04;-13.801667;-55.277222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Santa Rita do Trivelato;5107768;subterraneo;PT 05;-13.817694;-55.277167;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Vera;5108501;subterraneo;PT-05;-12.288264;-55.302247;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Vera;5108501;subterraneo;PT-03;-12.287000;-55.298472;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Nova Mutum;5106224;subterraneo;PT SÃO MANOEL;-13.598111;-55.872950;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ipiranga do Norte;5104526;subterraneo;Ponto 1;-12.245131;-56.150584;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Rondonópolis;5107602;subterraneo;P 18;-16.000000;-55.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tapurah;5108006;subterraneo;PT ANA TERRA;-12.536583;-56.653306;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Pedra Preta;5106372;subterraneo;PTP - 01;-16.620000;-54.460000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Pedra Preta;5106372;subterraneo;PTP - 02;-16.610000;-54.460000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Pedra Preta;5106372;subterraneo;PTP - 03;-16.620000;-54.470000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Pedra Preta;5106372;subterraneo;PTP - 04;-16.620000;-54.480000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Nova Mutum;5106224;subterraneo;PONTAL DO MARPE;-13.080000;-56.080000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tapurah;5108006;subterraneo;PT 04;-12.736056;-56.516028;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tapurah;5108006;subterraneo;PT 03;-12.743583;-56.505722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tapurah;5108006;subterraneo;PT 02;-12.736250;-56.508750;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tapurah;5108006;subterraneo;PT 01;-12.739528;-56.512639;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT18;-13.100300;-55.922614;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT16;-13.108531;-55.908756;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT15;-13.087972;-55.902972;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT14;-13.069750;-55.940861;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT13;-13.045667;-55.919694;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT12;-13.086389;-55.913889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT11;-13.075222;-55.939444;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT10;-13.073611;-55.922222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT09;-13.063333;-55.913056;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT07;-13.068333;-55.918611;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT05;-13.067222;-55.917500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT04;-13.078694;-55.927783;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Lucas do Rio Verde;5105259;subterraneo;PT02;-13.053056;-55.915278;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Tapurah;5108006;subterraneo;PT NOVO ELDORADO;-12.765250;-56.378611;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Poxoréu;5107008;subterraneo;PT JARUDORE;-16.000000;-54.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Ipiranga do Norte;5104526;subterraneo;Ponto 2;-12.234574;-56.153301;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Pedra Preta;5106372;subterraneo;PTP - 05;-16.600000;-54.480000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Denise;5103452;subterraneo;Ponto 1;-14.000000;-57.000000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Pedra Preta;5106372;subterraneo;PTP - 07;-16.610000;-54.480000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Poxoréu;5107008;subterraneo;PT SANTA MARIA;-15.504485;-54.242636;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Poxoréu;5107008;subterraneo;Ponto 1;-15.739550;-54.337810;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Poxoréu;5107008;subterraneo;Ponto 1;-15.735460;-54.336900;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PTP-02;-14.415911;-54.057017;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PTP-04;-14.452025;-54.048055;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Cuiabá;5103403;subterraneo;P.T. 86;-15.645939;-57.593889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Paranatinga;5106307;subterraneo;PTP-01;-14.414978;-54.048217;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PTP-05;-14.432686;-54.057358;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PTP-03;-14.453036;-54.041750;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Paranatinga;5106307;subterraneo;PTP-06;-14.401433;-54.048139;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2015
Nova Santa Helena;5106190;subterraneo;Ponto 1;-11.057839;-54.819578;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Cuiabá;5103403;subterraneo;P.T. 45 (ANTIGO P.T. 03 ST TEREZINHA);-17.132778;-57.137778;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Cuiabá;5103403;subterraneo;P.T. 44 (ANTIGO P.T. 04 ST TEREZINHA);-17.159722;-57.378889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Cuiabá;5103403;subterraneo;P.T. 46 (ANTIGO P.T. 05 ST TEREZINHA);-16.891667;-56.890556;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Brasnorte;5101902;subterraneo;Ponto 1;-12.143056;-58.002500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Brasnorte;5101902;subterraneo;Ponto 2;-12.140833;-58.007778;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Brasnorte;5101902;subterraneo;Ponto 3;-12.124444;-58.019722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Brasnorte;5101902;subterraneo;Ponto 4;-12.119167;-58.013056;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
Brasnorte;5101902;subterraneo;Ponto 5;-12.136667;-58.012222;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2016
